,.I,.T,.A,.W
48,49.0,,,role inform retriev knowledg base e expert system
49,50.0,,,parallel processor inform retriev
50,51.0,,,parallel processor page algorithm
51,52.0,,,model simul agricultur ecosystem
52,53.0,,,mathemat induct group theori integ modulo probabl coeffici binomi theorem homomorph morphism transit relat matrix
53,54.0,,hoare  dijkstra ,program languag includ abstract specif data type denot semant proof correct
54,55.0,,,anyth deal star height languag express regular event
55,56.0,,,articl relat algebra theori semigroup monoid studi automaton regular languag
56,57.0,j program style cacm twenti thousand seventi one r nine six hundr,backus  millo  lipton  perlis ,abstract articl j backu program liber von neumann style function style algebra program cacm twenti thousand seventi eight thirteen forti one r de millo r j lipton j perli letter acm forum cacm twenti two one thousand seventi nine six hundr twenti nine six hundr thirti
57,58.0,,,algorithm packag anova regress use least squar gener linear model system design capabl statist formula interest student wilcoxon sign test multivari univari compon includ
58,59.0,,,dictionari construct access fast retriev word lexic item morpholog relat inform hash index method usual appli english spell natur languag problem
59,60.0,,,softwar manag databas packag back end comput special associ hardwar microcomput attach disk head thing rap relat network codasyl hierarch model like system r im adaba total etc
60,61.0,inform retriev articl gerard salton other cluster bibliograph coupl co citat vector space model boolean search method use invert file feedback etc,salton ,inform retriev articl gerard salton other cluster bibliograph coupl co citat vector space model boolean search method use invert file feedback etc
61,62.0,,,result relat parallel complex theori pram uniform circuit
62,63.0,algorithm parallel,,algorithm parallel comput especi comparison parallel sequenti algorithm
63,64.0,el one,,list articl ecl el one may give el one rememb
