,.I,data,.B
11,12.0,acquisition from the 3rd world clarke  the ligue des bibliotheques europeennes de recherche liber was set up in 1971 as an international non governmental organization with the aim of establishing close collaboration between the general research libraries of western europe particularly national and university libraries and in particular to help in finding practical ways of improving the quality of the services these libraries provide at the second meeting of its general assembly held in luxembourg in 1972 liber decided to hold a seminar on the acquisition of materials from the third world and i was charged with the intellectual organization of this seminar the purpose of the meeting would be to examine the problems of acquisition the availability of materials in european libraries both for reference and for lending and the feasibility of setting up a european centre for the collection of such material to be available for loan the provision of bibliographic information preferable in machine readable form was to be a basic consideration whatever means were proposed for acquiring publications from those areas the council of europe made a generous grant towards the cost of the seminar which was held at the university of sussex from 17 to 19 september 1973,
12,13.0,ad695049 wooster  i am not nor have i ever pretended to be an expert on microfiche nevertheless when i was invited to address the third annual northeastern ddc industry users conference in waltham massachusetts in april of 1968 i had the temerity to attempt to describe what i as a user would like to have in a fiche reader towards a uniform federal report numbering system and a cuddly microfiche reader two modest proposals revised september 1968 ad 669204,
13,14.0,the administration of the college library lyle  if this book has a central thesis it rests upon the simple but frequently neglected principle that college library service goes beyond the commonly accepted functions of book circulation and storage the college library exists not merely to house and circulate library materials but to supplement and extend the teaching process with reference service to afford faculty members library opportunities for improving instruction and to encourage students to read more and better books administration is essentially a service activity a tool through which library functions are more fully and efficiently realized the present work retains most of the material of the first edition but includes substantial revision in each chapter the book was planned not only as a text in the teaching of college library administration but also for independent professional reading because readers have found the footnotes and chapter bibliographies useful for reference purposes they have been brought up to date and in some cases extended,
14,15.0,information flow in research and development laboratories allen  cohen  technical communication patterns in two research and development laboratories were examined using modified sociometric techniques the structure of technical communication networks in the two laboratories results from the interaction of both social relations and work structure the sociometric stars in the technical communication network who provide other members of the organization with information either make greater use of individuals outside the organization or read the literature more than other members of the laboratory,
15,16.0,adopting the library of congress classification system matthis  this manual is designed to make it possible for any library to change efficiently to the library of congress classification system detailed procedures are outlined which may serve as exact models or as a series of suggested steps which have proven effective in actual use most of the text deals with the necessary criteria for effecting the planning making the preparations selecting the tools and establishing the procedures which are essential for a reclassification project beyond this considerable attention has been given to many of the problem areas of the lc classification series biography bibliography law pz3 and pz4 in addition the literature tables viiia and ixa two of the most frequently used tables throughout the entire class system have been thoroughly explained and their application illustrated by a series of comprehensive examples since the mechanics production and cost of catalogue card copy can significantly affect the flow of books to users a chapter has been devoted to describing the use of xerox copying machines in library operations finally an annotated bibliography of books and articles judged to be helpful in deciding to reclassify is included for those readers who wish to delve more deeply into the tortuous and frustrating 50 year history of the concept of centralized cataloging and classification the numbers enclosed in parentheses throughout the text refer to sources in the bibliography which relate to or support the arguments being advanced in any particular case,
16,17.0,adventures in librarianship voigt  there has long been a need for a continuing series to provide scholarly reviews of the rapidly changing and advancing field of librarianship a series which would select subjects with particular current significance to the profession and provide an analysis of the advances made through research and practice advances in librarianship is planned and designed to fill this need it will present critical articles and surveys based on the published literature research in progress and developments in libraries of all types mechanization may appear to be the most obvious of the advancing fronts of librarianship for automation has caught the enthusiastic support of all librarians who can visualize its potential advances in this field will certainly be found in every volume of this series as the first group of articles in this volume demonstrate technological change has an obvious and direct implication for libraries but the problem has been found to be much more complex than the simple inventory problem many experts expected advances in librarianship is dedicated to presenting the realities of automation assessing where we are where we are going and how fast we can hope to get there the machine and cataloging reviews the current status of the machine produced book catalog and what lies ahead as we enter the age of marc where business methods have greater applicability progress is easier as reported in mechanization of acquisition processes even in this area generally acceptable practices and standardization are in the future not the past one of the problems of major and immediate importance in computerization of catalog information is that discussed in filing systems for computer manipulation this detailed review presents the complexity of the problems and suggests possible solutions for many years technical service costs have been defended without adequate knowledge of the facts as automated procedures are proposed standards are determining costs of traditional operations become essential the article on standards for such costs shows why the problems have been difficult and reviews the significant advances of the past few years the school library has widened its dimensions in materials and services much more rapidly than other libraries as reflected in its new name the instructional media center here technical change together with new teaching methods has made possible major developments in library service in schools as well as for children in the public library two articles make clear that what can be done has been demonstrated and that what remains is to make this the rule rather than the exception bibliotherapy is an example of a field in which progress has been slow articles which illustrate the potential which systems theory and managerial planning theory have for libraries the articles on the application of these concepts which come from research in administration are provocative and may appear controversial to some the article on library development in developing countries provides an analysis in depth of our efforts and degree of success in assisting other countries in providing the library service which is so important in the modern world,1970-01-01 00:00:00
17,18.0,selective dissemination of information mauerhoff  the present contribution does not duplicate previous studies but complements the earlier publications and closes the few gaps that exist in the literature prior to 1966 and after 1971 additionally it is a bold attempt to evaluate critically and objectively the history of the mechanized selective dissemination of information sdi as reflected in the literature from the initial description by luhn 1958 1961b c to the post 1970 period when the sdi boom began losing ground to the more popular on line interactive systems the review therefore questions and interprets the concept of sdi its implementation and its evolution in the light of work performed by many companies government agencies universities societies and libraries during the last fourteen years,1974-01-01 00:00:00
18,19.0,adventures in theory of languages herdan  in trying to give an account of the statistical properties of language one is faced with the problem of having to find the common thread which would show the many and multifarious forms of language statistics embodied in scattered papers written by linguists philosophers mathematicians engineers each using his own professional idiom as belonging to one great whole quantitative linguistics the book stresses the peculiarity of statistics of language structure as against just conventional statistics to put the difference between two types of statistics briefly the latter comprises the methods and parameters of general number statistics as applied e g in economics and demography the former has its own methods and characterising parameters particularly useful for describing and evaluating language structure the idea of statistical linguistics as using concepts and methods of its own which was adumbrated in the author s language as choice and chance 1956 has now taken definite shape of this development i shall try to give a brief account in my book language as choice and chance the foundation was laid for a truly sensible application of statistics to language by my interpretation of the langue parole dichotomy as being essentially that between statistical universe and sample,
19,20.0,the age of jewett charles coffin jewett and american librarianship 1841 1868 harris  most librarians mark the beginning of modern librarianship from the founding of the american library association in 1876 and the appearance on the national library scene of such dynamic and controversial figures as melvil dewey and charles ammi cutter but in doing so they overlook an extremely significant era in the history of our profession for the quarter century preceding the 1876 meeting in philadelphia was one characterized by great advances in the field of american librarianship this period of growth was to have considerable influence on the course of library development in america after 1876 to ignore the third quarter of the nineteenth century is to risk misinterpreting the pivotal post 1876 era and in this time of reappraisal it seems particularly appropriate and useful to focus our attention on the years preceding the founding of the american library association,
20,21.0,on aggression lorenz  in this book lorenz deals with the evolution of aggression in vertebrates he points out that aggressivity is totally different from predation that it is a biological necessity for defence of territory and for a cornered animal and that it becomes mixed up with other innate drives thus leading up towards reduction of intraspecific damage this be it noted is most evident in fiercer social predators like wolves where escape from the pack is virtually impossible and where co operation without fighting is necessary for survival whereas in the non social but proverbially peaceful dove prevention of escape leads to violent and often fatal attacks on the weaker mate in a final chapter he advances some suggestion as to how in the human species where evolution is primarily cultural and not guided by darwinian selection in the strict sense the aggressive drive may be canalized into less dangerous channels man has innumerable ways of adaptively ritualizing his behavior many of them analogous if not homologous to those found in animals in any event on aggression is a fascinating book by a master of his subject,
21,22.0,education and manpower for librarians asheim  this paper is not an official policy statement of the american library association nor of the office for library education it is simply an exploration an outline of possibilities for consideration by the profession its purpose is to generate discussion that will lead eventually to a statement of association policy that the profession will support and make effective a basic assumption on which the statement rests is this that the library occupation is much broader than that segment of it which is the library profession but that the professional segment has responsibility for the definition and supervision of the training and education required by the complete range of activities encompassed by the occupation librarians are not the only persons who work in libraries but librarians are the ones who are concerned with the advancement and improvement of the library profession it follows then that it is the obligation of the professionals to engage actively in the establishment and maintenance of standards and norms governing the preparation of people who work at any level in libraries they should define and guide the kinds of preparation most useful at the pre professional level and not merely the education of those who will hold positions at the level we now call professional,
22,23.0,pilot inventory of library holdings braden  this project was undertaken because of the high degree of uncertainty among the library staff regarding the extent of the problem of missing books the findings of this study gave the ohio state university libraries concrete evidence as to how many books are missing and indicated the areas in which book losses are the greatest these figures also provide information which can be conveyed to the faculty or administration when they voice complaints about the unavailability of library books the areas where losses are high also tend to indicate the areas of most frequent use,
23,24.0,libraries and technological forces affecting them cuadra  1 what do we mean by technology and what kind of technological forces are we concerned with 2 why is it important to be concerned with technology in thinking about the future of libraries 3 what kinds of technology are particularly important for libraries 4 how can this technology be applied today 5 what can we foresee for the future as we move toward the year 2000 6 what if anything should we do tomorrow to try to get from here to here,
24,25.0,algebraic systems maltsev  as far back as the 1920 s algebra had been accepted as the science studying the properties of sets on which there is defined a particular system of operations however up until the forties the overwhelming majority of algebraists were investigating merely a few kinds of algebraic structures these were primarily groups rings and lattices the first general theoretical work dealing with arbitrary sets with arbitrary operations is due to g birkhoff 1935 during these same years a tarski published an important paper in which he formulated the basic principles of a theory of sets equipped with a system of relations such sets are now called models in contrast to algebra model theory made abundant use of the apparatus of mathematical logic the possibility of making fruitful use of logic not only to study universal algebras but also the more classical parts of algebra such as group theory was discovered by the author in 1936 during the next twenty five years it gradually became clear that the theory of universal algebras and model theory are very intimately related despite a certain difference in the nature of their problems and it is therefore meaningful to speak of a single theory of algebraic systems dealing with sets on which there is defined a series of operations and relations algebraic systems the formal apparatus of the theory is the language of the so called applied predicate calculus thus the theory can be considered to border on logic and algebra,
25,26.0,indexing and abstracting by association doyle  this article discusses the possibility of exploiting the statistics of word co occurrence in text for purposes of document retrieval co occurrence is defined and related to the mental processes of authors and readers several means of quantitative measurement of word co occurrence are then scrutinized it is shown that the most strongly co occurring word pairs which are therefore associated in a statistical sense can be represented in the form of an association map the last half of the article presents two modes of use of association maps in literature searching,
26,27.0,cost analysis and simulation procedures for the evaluation of large information systems bourne  ford  a computer program has been written and used which simulates the several year operation of an information system and computes estimates of the expected operating costs as well as the amount of equipment and personnel required during that time period the program has been used for the analysis of several large systems and has proven itself to be a useful research tool for the study of systems with so many components and interrelated operations that an equivalent manual analysis would be extremely cumbersome and time consuming and perhaps even impractical this paper describes this program and shows as an example some of the results of a simulation of two of several suggested designs for a specific information system,
27,28.0,a note on the pseudo mathematics of relevance taube  recently a number of articles books and reports dealing with information systems i e document retrieval systems have advanced the doctrine that such systems are to be evaluated in terms of the degree or percentage of relevancy they provide although there seems to be little agreement on what relevance means and some doubt that it is quantifiable there is nevertheless a growing agreement that a fixed and formal relationship exists between the relevance and the recall performance of any system thus we will find in the literature both a frankly subjective notion of relevance as reported by individual users and equations curves and mathematical formulations which presumably provide numerical measures of the recall and relevance characteristics of information systems this phenomenon of shifting back and forth from an admittedly subjective and non mathematical term to equations in which the same term is given a mathematical value or a mathematical definition has its ancient parallel in discussions of probability one cannot of course legislate the meaning of a term it all depends as alice pointed out on who is master the user or the term on the other hand the use of a single term in the same document to cover two or more distinct meanings especially when such a usage is designed to secure the acceptance of a doctrine by attributing to it mathematical validity which it does not have represents a more serious situation than merely careless ambiguity,
28,29.0,some questions concerning information need o connor  the expression satisfying a requester s information need is often used but its meaning is obscure the literature on information need in relation to retrieval suggests three different though not inconsistent possible interpretations however each of these interpretations is itself fundamentally unclear the various obscurities involved are indicated by critical questions which those who write of information need are invited to answer,
29,30.0,vocabulary building and control techniques wall  the rationale is given for creation and maintainance by an information center of a controlled indexing and retrieval vocabulary basic vocabulary principles are 1 use of natural language 2 development of hospitality to new concepts 3 provision of adequate cross referencing and 4 formatting for easy use terminalogical conventions necessary for development and control of a useful vocabulary are summarized and the techniques for applying these conventions to construct a thesaurus are described computerized editing techniques and updating techniques are briefly set forth,
30,31.0,attendance and use of the science library at m i t bush  galliher  morse  this is an interim report on continuing studies of library operations at massachusetts institute of technology being made by members of the institute s operations research project in cooperation with the librarians and library staff in this report which is based on actual observations of on the premise use made of the science library various statistics measuring the kind degree and intensity of use are tabulated in addition there are some suggested measures of effectiveness of the library a unique outcome of the survey has been the construction and verification of a mathematical model employing probability theory to measure rate and kind of use of library material together with length of stay of library patrons such models characteristic of an operations research approach give promise of furthering the goal of effective library management and planning,
31,32.0,information gathering patterns and creativity a study of research chemists in an industrial research laboratory maizell  a comparison of creative and noncreative research chemists with respect to the ways in which they use their professional and technical literature the creative chemists differ from the noncreative in that the former read more technical literature on the job are less reluctant to use literature of greater reading difficulty are less influenced in their independence of thought read more extensively and consult more frequently the older material are more inquisitive and have broader cultural interests the findings of the study are believed to be helpful in planning library and information services in refining future inquiries into the ways in which scientists use recorded information and in improving tests for the identification of creative ability among chemists,
32,33.0,the half life of some scientific and technical literatures kebler  a consideration of the analogy between the half life of radioactive substances and the rate of obsolescence of scientific literature the validity of this analogy suggest the possibility of more accurate prognostications concerning the period of time during which scientific literature may by used and hence might help to guide the planning of library collections and technical information services,
33,34.0,keyword in context index for technical literature kwic index luhn  a distinction is made between bibliographical indexes for new and past literature based on the willingness of the user to trade perfection for currency indexes giving keywords in their context are proposed as suitable for disseminating new information these can be entirely machine generated and hence kept up to date with the current literature a compatible coding scheme to identify the indexed documents is also proposed in it elements are automatically extracted from the usual identifiers of the document so that the coded identifier yields a maximum of information while remaining susceptible to normal methods of ordering,
34,35.0,comparisons of four types of lexical indicators of content rath  resnick  savage  an experiment was conducted to determine which of four types of lexical indicators of content could be utilized best by subjects to determine relevant from irrelevant documents and to answer a set of 100 questions the results indicate that there were no major differences between the groups using complete text and abstracts to select relevant documents but the group utilizing the complete text obtained a significantly higher score on the examination,
35,36.0,recorded use of books in the yale medical library kilgour  explores the amount of use of books by categories of borrowers in the yale medical library with a view to discovering the proportion of the catalogue which should be put in machinable form,
36,37.0,the world s technical journal literature an estimate of volume origin language field indexing and abstracting bourne  a quantitative estimate is made of the magnitude of the world s scientific and technical journal literature problem using a number of basic sources of statistical information a composite picture is established to show such things as the total volume linguistic and national origins breakdown by subject field and degree of coverage by the abstracting and indexing services,
37,38.0,machinelike indexing by people montgomery  swanson  a study of several thousand entries in a classified bibliography of article titles the index medicus revealed that a large proportion of the title entries contained words identical to or synonymous with words of the corresponding subject heading it is inferred that a major part of the bibliography studied could have been compiled by a machine procedure operating on titles alone provided the machine was supplied with a suitable synonym dictionary,
38,39.0,bibliographic coupling between scientific papers kessler  this report describes the results of automatic processing of a large number of scientific papers according to a rigorously defined criterion of coupling the population of papers under study was ordered into groups that satisfy the stated criterion of interrelation an examination of the papers that constitute the groups shows a high degree of logical correlation,
39,40.0,worldwide census of scientific and technical serials desmond  results of the census of the world s scientific and technical serial literature within the limits defined and based on an examination of published source material from countries throughout the world reflect a total title population much lower than estimated before distribution of this population by country showing better than 50 of the total divided among six major countries is included and discussed together with a broad subject distribution of serials for certain countries,
40,41.0,new factors in the evaluation of scientific literature through citation indexing sher  more than one million citations from the scientific literature have been processed by the citation index project at the institute for scientific information the project sponsored by nsf and nih will be described briefly and new methods of using citation data for evaluation of publications will be discussed summaries of statistical data compiled by computer methods such as the following will be given 1 frequency of citation of one journal by another 2 frequency of current citations to the past literature 3 frequency of self citation by journals and authors 4 number of source citations per cited paper 5 number of references per source paper 6 number of papers published per journal,
41,42.0,the notion of relevance hillman  analysis of the problems of defining the mutual relevancies of queries and document collections indicates that they essentially involve the problem of conceptual relatedness in order to consider the later problem the question of concept formation is first discussed which in turn requires a definition of concept an extensional interpretation is suggested whereby a concept is associated with a class of conceptually similar documents users similarity judgments then provide the empirical data for formal definitions of concept and conceptual relatedness it is found however that certain very general difficulties rule out the possibility of defining concepts and their relatedness by the method proposed since this method is based on human relevance judgments it seems a natural one to adopt so that its collapse has serious practical and theoretical consequences an alternative approach is therefore proposed whose elaboration will form part ii of this article,
42,43.0,the consistency of human judgments of relevance savage  a comparison of the ability of humans to consistently judge the relevance of documents to their general interests from bases of citations abstracts keywords and total text was made under controlled experimental conditions the results showed that 1 humans are able to make such judgments consistently and 2 the consistency of the judgment is independent of the particular base from which it is made apparent inconsistency arising from judgments made on the basis of abstracts remains unexplained this experiment as well as others concerned with human evaluations of text material leave unexplored the basic problem of providing a metric scale on which such evaluations can be measured,
43,44.0,the distribution of term usage in manipulative indexes wall  a semi empirical correlation based on data from nine indexes permits the prediction of the percentage of terms in a manipulative index vocabulary which will be used to index any given number of documents this is a function of the total number of index entries in the system a log normal relationship similar to zipf s law exists between total index entries and distribution of term usage based upon the correlation optimum vocabulary size and growth rate can inferred as well as the most efficient arrangement of index entries in a storage medium the results agree well with published data and appear to be particularly useful for designers of mechanized retrieval or publication operations,
44,45.0,measuring the reliability of subject classification by men and machines borko  procedures for measuring the consistency of document classification are described three subject specialists classified 997 abstracts of psychological reports into one of eleven categories these abstracts were also mechanically classified by a computer program using a factor score computational procedure each abstract was scored for all categories and assigned to the one with the highest score the three manual classifications were compared with each other and with the mechanical classifications and a series of contingency coefficients was computed the average reliability of manual classification procedures was equal to 870 the correlation between automatic and manual classification was 766,
45,46.0,a quantitative measure of user circulation requirements and its possible effect on stack thinning and multiple copy determination trueswell  the strategy outlined in this article describes a possible aid to the librarian for thinning a library s stack according to the criterion of user needs the method uses the last circulation date as a parameter of user circulation requirements the resulting stack collection would by design satisfy over 99 percent of the user circulation requirements and yet be of minimum size preliminary but not yet fully validated research indicates that the number of volumes in a library s holdings may be reduced by 60 to 70 percent and yet satisfy well over 99 percent of the user requirements it may also be possible to determine which books should have multiple copies in order that user disappointment can be minimized the effective result of this approach is that there now may be a quantitative method of maintaining the library s holdings at a reasonable level and in addition a reduction in the disappointment of the user who is unable to find the book he wants because of use by another,
46,47.0,improvement of the selectivity of citation indexes to science literature through inclusion of citation relationship indicators lipetz  citation indexes to large bodies of science literature can often list far more citing references under the known cited reference than the user can afford the time to look up by providing some additional information beyond the minimal association of the citing reference with the cited reference a citation index could provide the means of the user to select from a long list those citing references which are most relevant to his immediate search requirement means of providing this selectivity are discussed particular attention is given to the possibility of adding short codes to the citation entries which would be informative of the way in which the citing publication is operationally related to the cited one this method is an integral feature of the shepard s legal citations a scheme of citation relationships of potential value to users of science literature is presented these relationships were tested on a sampling of physics literature the suggested categories include indicators of the relation of the citing reference to the scientific process in general as well as indicators of its relationship to the cited reference in particular assignment of the categories to a citation requires the exercise of judgment as in subject indexing but does not involve the use of subject terminology an illustration is provided of the application from a citation index to physics literature,
47,48.0,the norms of citation behavior prolegomena to the footnote kaplan  the publication explosion has focused renewed attention on the lowly footnote while we are all at least partially aware of the technical functions of the citation for both the writer and the reader of the scientific paper little is known about the norms operating in actual practice even less is known about the operating norms with respect to the more sociological functions including the acknowledgement of intellectual debts or the conferral of recognition upon the works of others this paper reviews the state of our knowledge raises questions and proposes suggestions and hypotheses for studying the relationships between footnoting practices among scientists and the social system of science,
48,49.0,adaptive information dissemination fitzwater  computer dissemination of information offers significant advantages over manual dissemination because the computer can use strategies that are impractical and in some cases impossible for a human this paper describes the ames laboratory selective dissemination of information system with emphasis on the effectiveness of user feedback the system will accept any document abstract keyword etc in a kwic or science citation index source format user profiles consist of words or word clusters each with an initially assigned significance value these values are used in making the decision to notify a user that he may be interested in a particular document according to responses the significance values are increased or decreased and quickly attain an equilibrium which accurately describes the user s interests the system is economical compared to other existing sdi systems and human intervention is negligible except for adding and deleting profile entries,
