,.I,data,.B
73,74.0,a high speed sorting procedure shell  ,1959-07-01
74,75.0,parameter estimation for simple nonlinear models chow  ,1959-07-01
75,76.0,binary conversion with fixed decimal precision of a decimal fraction taranto  ,1959-07-01
76,77.0,on gat and the construction of translators arden  graham  ,1959-07-01
77,78.0,remarks on the practical solution of characteristic value problems wouk  this paper is concerned with the practical solution of characteristic value problem for an ordinary differential equation it is at once apparent that sequential computers be they digital or analog solve initial value problems rather than boundary value problems and some mathematical process must be found to compensate for the machine s inadequacy compensating for machine imperfection is of course the normal activity of the numerical analyst a number of other papers have applied particular devices to particular problems the purpose of this note is to establish a mathematical framework or model for these practical procedures and thus assist in the use and extension of the ideas in other particular problems,1959-06-01
78,79.0,programming for a machine with an extended address calculational mechanism schecher  ,1959-06-01
79,80.0,a technique for computing critical rotational speeds of flexible shafts on an automatic computer schwartz  ,1959-06-01
80,81.0,norc high speed printer gleissner  ,1959-06-01
81,82.0,handling identifiers as internal symbols in language processors williams  substitution of computer oriented symbols for programmer oriented symbols in language processors is examined and a feasible method for doing so is presented,1959-06-01
82,83.0,a visit to computation centers in the soviet union iii  ,1959-06-01
83,84.0,survey of progress and trend of development and use of automatic data processing in business and management control systems of the federal government as of december 1957 ii part 2 see ca590406  ,1959-05-01
84,85.0,error analysis in floating point arithmetic iii  ,1959-05-01
85,86.0,survey of progress and trend of development and use of automatic data processing in business and management control systems of the federal government as of december 1957  ,1959-04-01
86,87.0,a note on a method for generating points uniformly on n dimensional spheres muller  ,1959-04-01
87,88.0,an efficient method for generating uniformly distributed points on the surface of an n dimensional sphere hicks  wheeling  ,1959-04-01
88,89.0,a routine to find the solution of simultaneous linear equations with polynomial coefficients larson  marshall  ,1959-04-01
89,90.0,binary arithmetic for discretely variable word length in a serial computer ercoli  vacca  ,1959-04-01
90,91.0,a mathematical procedure for machine division gilman  ,1959-04-01
91,92.0,a checklist of intelligence for programming systems bemer  a remarkable variation exists in the degree of sophistication of various programming systems a particular manifestation is the jungle of assorted devices for reproducing limited human decision procedures an attempt is made here to begin a systematic classification of the various devices for educating the computer to take over the decision making functions of one or many human operators both those that have been demonstrated feasible to date and those that are highly desirable for the future,1959-03-01
92,93.0,from formulas to computer oriented language wegstein  a technique is shown for enabling a computer to translate simple algebraic formulas into a three address computer code,1959-03-01
93,94.0,an iterative method for fitting the logistic curve howell  an iterative method is given for finding a logistic curve of best least squares fit to a set of two dimensional points,1959-03-01
94,95.0,elimination of special functions from differential equations powers  a set of ordinary differential equations which contains mathematical functions requiring the use of subroutines for numerical solution by electronic computer tabular data for numerical solution by hand calculation or function generators when analog methods are applied can sometimes be expanded to an equivalent set of equations which do not contain the functions this is practical if these functions satisfy sufficiently simple differential equations thus among those functions which can be eliminated by this procedure are the trigonometric inverse trigonometric exponential and many other transcendental functions,1959-03-01
95,96.0,on computing radiation integrals hansen  bailin  rutishauser  the relative merit and cost of four ways of evaluating typical radiation integrals containing spherical bessel functions are investigated these methods are desk machine evaluation of a finite series integration of the appropriate differential equation by a reeves electronic analog computer and by a litton 40 ibm 704 computer results are generally applicable to equations separated from a helmholtz or wave equation,1959-02-01
96,97.0,signal corps research and development on automatic programming of digital computers luebbert  jr   ,1959-02-01
97,98.0,the arithmetic translator compiler of the ibm fortran automatic coding system sheridan  ,1959-02-01
98,99.0,possible modifications to the international algebraic language green  ,1959-02-01
99,100.0,recursive subscripting compilers and list types memories iii  ,1959-02-01
100,101.0,nuclear reactor codes nather  sangren  ,1959-01-01
101,102.0,a comparison of 650 programming methods curtz  riordan  spohn m  ,1960-12-01
102,103.0,cope console operator proficiency examination farbman  ketover  each year electronic computers become more sophisticated and the programs they must process become more complex because of this dependence of those in computing on the skill and experience of operators is increasing at the same time selection and training of qualified operators grows more difficult to meet the need for a quick accurate uniform operator test and training aid the authors have developed cope console operator proficiency examination outlined below while this examination is programmed specifically for the ibm 705 model ii with two tape record coordinators similar programs could be developed for other computers,1960-12-01
103,104.0,digital simulation of discrete flow systems moore  lewis  the discrete flow systems discussed are characterized by the movement of randomly arriving items along interacting channels programing a digital computer to simulate such systems utilizes some techniques not common in other approaches to physical problems the principal portion of the paper is a discussion of two simulation studies that illustrate some of the programming problems involved one is of an extensive package handling plant with the objective being optimization of parameters such as storage capacities and processing rates in the other air traffic flow and control procedures are simulated to compare the effects of alternative control decisions,1960-12-01
104,105.0,two methods for word inversion on the ibm 709 price  jardins  ,1960-12-01
105,106.0,a method for overlapping and erasure of lists collins  an important property of the newell shaw simon scheme for computer storage of lists is that data having multiple occurrences need not be stored at more than one place in the computer that is lists may be overlapped unfortunately overlapping poses a problem for subsequent erasure given a list that is no longer needed it is desired to erase just those parts that do not overlap other lists in lisp mccarthy employs an elegant but inefficient solution to the problem the present paper describes a general method which enables efficient erasure the method employs interspersed reference counts to describe the extent of the overlapping,1960-12-01
106,107.0,multiple precision arithmetic pope  stein  ,1960-12-01
107,108.0,programmed error correction in project mercury dimsdale  weinberg  ,1960-12-01
108,109.0,a note on approximating e x lubkin  ,1960-12-01
109,110.0,fibonaccian searching ferguson  ,1960-12-01
110,111.0,on programming the numerical solution of polynomial equations ellenberger  numerical techniques are presented for computing the roots of polynomial equations by applying the recommended scaling and inversion rules the basic bairstow and newton raphson iterative techniques can be applied with great reliability both a high degree of accuracy and rapid convergence are realized numerical examples are shown to illustrate the pitfalls and to show how these are circumvented by application of the recommended procedures,1960-12-01
111,112.0,numerical solution of the polynomial equation algorithm 30 ellenberger  ,1960-12-01
112,113.0,survey of coded character representation bemer  ,1960-12-01
113,114.0,survey of punched card codes smith  williams  ,1960-12-01
114,115.0,optimizers their structure wheeling  ,1960-12-01
115,116.0,the sumador chino rogers  on a recent motor trip through mexico the writer came across on adding device which was referred to as a sumador chino chinese adder a survey of the more available literature on the history of mathematics and on instruments of calculation has uncovered no reference to such a device the purpose of this communication is to enlist the help of other members in bringing to light whatever may be known concerning the evolution and present status of the sumador chino,1960-11-01
116,117.0,an estimation of the relative efficiency of two internal sorting methods nagler  ,1960-11-01
117,118.0,character scanning on the ibm 7070 speckhard  ,1960-11-01
118,119.0,note on eigenvalue computation andrus  ,1960-11-01
119,120.0,a simple technique for coding differential equations sefton  vaillancourt  ,1960-11-01
120,121.0,over all computation control and labelling holt  ,1960-11-01
121,122.0,least squares fitting of a great circle through points on a sphere dewitte  ,1960-11-01
122,123.0,compilation for two computers with neliac jr   neliac a compiler based on algol was developed at the u s navy electronics laboratory san diego california as a boot strap compiler for the remington rand univac countess computer this compiler was used to generate a version of itself which running as a countess program generated machine code for the control data corporation cdc 1604 all three versions of neliac accepted essentially identical input language,1960-11-01
123,124.0,an algorithm for the assignment problem silver  the assignment problem is formulated and briefly discussed an efficient algorithm for its solution is presented in algol code an empirical relation between solution time and the size of the problem is given based on extensive experiments carried out on a digital computer,1960-11-01
124,125.0,polynomial transformer algorithm 29 mackinney  ,1960-11-01
125,126.0,least squares fit by orthogonal polynomials algorithm 28 mackinney  ,1960-11-01
126,127.0,assignment algorithm 27 silver  ,1960-11-01
127,128.0,rootfinder iii algorithm 26 herroit  ,1960-11-01
128,129.0,rootfinder ii algorithm 15 forsythe  herriot  ,1960-11-01
129,130.0,real zeros of an arbitrary function algorithm 25 leavenworth  ,1960-11-01
130,131.0,solution of tri diagonal linear equations algorithm 24 leavenworth  ,1960-11-01
131,132.0,math sort algorithm 23 feurzeig  ,1960-11-01
132,133.0,riccati bessel functions of first and second kind algorithm 22 oser  ,1960-11-01
133,134.0,bessel function for a set of integer orders algorithm 21 borsch supan  ,1960-11-01
134,135.0,digital computers in universities iv reeves  ,1960-10-01
135,136.0,a note on the calculation of interest ingerman  ,1960-10-01
136,137.0,evaluating numbers expressed as strings of english words swift  ,1960-10-01
137,138.0,some thoughts on reconciling various character set proposals corrigenda voorhees  ,1960-10-01
138,139.0,binomial coefficients algorithm 19 kenyon  ,1960-10-01
139,140.0,crout with pivoting algorithm 16 forsythe  ,1960-10-01
140,141.0,some thoughts on parallel processing yarbrough  ,1960-10-01
141,142.0,comments on a technique for counting ones sherman  ,1960-10-01
142,143.0,a list of computer systems programs for the ibm 650 datatron 205 and univac ss 80 romberg  ,1960-10-01
143,144.0,do it by the numbers digital shorthand bemer  present communications systems transmit single characters in groups of coded pulses between simple terminal equipments since english words form only a sparse set of all possible alphabetic combinations present methods are inefficient when computer systems are substituted for these terminals using numeric representations of entire words or common phrases rather than character by character representations requires approximately one third of present transmission time this saving is reflected in overall costs other benefits accrue in code and language translation schemes provision is made for transmission of purely numeric and or binary streams and for single character transmission of non dictionary words such as the names of people or places,1960-10-01
144,145.0,automatic graders for programming classes hollingsworth  ,1960-10-01
145,146.0,the use of computers in engineering classroom instruction katz  on april 29 30 the computer committee of the college of engineering university of michigan which acts as a steering committee for the ford foundation project on the use of computers in engineering education held a special conference to discuss certain timely topics pertinent to the ford project this report contains a condensed transcription of the key ideas offered by the conference attendees on selected topics,1960-10-01
146,147.0,report on a conference of university computing center directors  ,1960-10-01
147,148.0,digital computers in universities iii reeves  ,1960-09-01
148,149.0,a decision rule for improved efficiency in solving linear programming problems with the simplex algorithm dickson  frederick  ,1960-09-01
149,150.0,rational interpolation by continued fractions algorithm 18 floyd  ,1960-09-01
150,151.0,trdiag algorithm 17 iii  ,1960-09-01
151,152.0,crout with pivoting algorithm 16 forsythe  ,1960-09-01
152,153.0,comments from a fortran user blatt  ,1960-09-01
153,154.0,rapidly convergent expressions for evaluating e x berin  ,1960-09-01
154,155.0,trie memory fredkin  ,1960-09-01
155,156.0,an introductory problem in symbol manipulation for the student rosin  ,1960-09-01
156,157.0,digital computers in universities ii reeves  ,1960-08-01
157,158.0,rootfinder ii algorithm 15 jr   ,1960-08-01
158,159.0,rootfinder algorithm 2 jr   ,1960-08-01
159,160.0,rootfinder ii algorithm 15 jr   ,1960-08-01
160,161.0,abbreviating words systematically corrigendum barrett  grems  ,1960-08-01
161,162.0,a variant technique for counting ones frieden  ,1960-08-01
162,163.0,counting ones on the ibm 7090 kutler  ,1960-08-01
163,164.0,a short study of notation efficiency jr   ,1960-08-01
164,165.0,neliac a dialect of algol huskey  halstead  ,1960-08-01
165,166.0,programming compatibility in a family of closely related digital computers luebbert  ,1960-07-01
166,167.0,combining algol statement analysis with validity checking mcisaac  ,1960-07-01
167,168.0,multiprogram scheduling parts 3 and 4 scheduling algorithm and external constraints codd  ,1960-07-01
168,169.0,the multilingual terminology project holmstrom  ,1960-07-01
169,170.0,some thoughts on reconciling various character set proposals voorhees  ,1960-07-01
170,171.0,digital computers in universities part i reeves  ,1960-07-01
171,172.0,complex exponential integral algorithm 13 beam  ,1960-07-01
172,173.0,atlas a new concept in large computer design  ,1960-06-01
173,174.0,interval estimation of the time in one state to total time ratio in a doubleexponential process neal  ,1960-06-01
174,175.0,the solution of simultaneous ordinary differential equations using a general purpose digital computer anderson  ,1960-06-01
175,176.0,symbol manipulation by threaded lists corrigendum perlis  thornton  ,1960-06-01
176,177.0,solution of polynomial equation by bairstow hitchcock method a a grau communications acm february 1960 algorithm jr   ,1960-06-01
177,178.0,rootfinder algorithm jr   ,1960-06-01
178,179.0,evaluation of the legendre polynomial pn x by recursion algorithm galler  ,1960-06-01
179,180.0,evaluation of the laguerre polynomial ln x by recursion algorithm galler  ,1960-06-01
180,181.0,evaluation of the hermite polynomial hn x by recursion algorithm galler  ,1960-06-01
181,182.0,evaluation of the chebyshev polynomial tn x by recursion algorithm galler  ,1960-06-01
182,183.0,conversion between floating point representations perry  ,1960-06-01
183,184.0,a short method for measuring error in a least squares power series robinson  struble  ,1960-06-01
184,185.0,multiprogram scheduling parts 1 and 2 introduction and theory codd  in order to exploit fully a fast computer which possesses simultaneous processing abilities it should to a large extent schedule its own workload the scheduling routine must be capable of extremely rapid execution if it is not to prove self defeating the construction of a schedule entails determining which programs are to be run concurrently and which sequentially with respect to each other a concise scheduling algorithm is described which tends to minimize the time for executing the entire pending workload or any subset of it subject to external constraints such as precedence urgency etc the algorithm is applicable to a wide class of machines,1960-06-01
185,186.0,an algorithm defining algol assignment statements addendum floyd  ,1960-06-01
186,187.0,compiling connectives swift  ,1960-06-01
187,188.0,the department of computer mathematics at moscow state university berezin  ,1960-06-01
188,189.0,the future of automatic digital computers booth  ,1960-06-01
189,190.0,bendix g 20 system  ,1960-05-01
190,191.0,abbreviating words systematically barrett  grems  ,1960-05-01
191,192.0,a technique for counting ones in a binary computer wegner  ,1960-05-01
192,193.0,a start at automatic storage assignment patrick  ,1960-05-01
193,194.0,divisionless computation of square roots through continued squaring sarafyan  ,1960-05-01
194,195.0,what is a code patterson  ,1960-05-01
195,196.0,report on the algorithmic language algol 60 naur  backus  ,1960-05-01
196,197.0,an imaginary number system knuth  ,1960-04-01
197,198.0,a high speed multiplication process for digital computers gurzi  ,1960-04-01
198,199.0,euclidian algorithm algorithm 7 claussen  ,1960-04-01
199,200.0,bessel function i asymptotic expansion algorithm 6 clarke  ,1960-04-01
200,201.0,bessel funtion i series expansion algorithm 5 clarke  ,1960-04-01
201,202.0,a control system for logical block diagnosis with data loading senko  this paper describes a section of an integrated diagnostic monitor system which facilitates the checking of sections of instructions or subroutines anywhere in the object program a new method of specifying all diagnostic operations in a format similar to a computer program makes the system convenient to use and relatively simple to understand the paper also describes a number of other novel diagnostic features which can be included in the system,1960-04-01
202,203.0,decoding combinations of the first n integers taken k at a time brown  ,1960-04-01
203,204.0,proving theorems by pattern recognition i wang  ,1960-04-01
204,205.0,macro instruction extensions of compiler languages mcilroy  macroinstruction compilers constructed from a small set of functions can be made extremely powerful in particular conditional assembly nested definitions and parenthetical notation serve to make a compiler capable of accepting very general extensions to its ground language,1960-04-01
205,206.0,symbol manipulation in xtran green  ,1960-04-01
206,207.0,syntactic and semantic augments to algol smith  ,1960-04-01
207,208.0,an introduction to information processing language v newell  tonge  ,1960-04-01
208,209.0,symbol manipulation by threaded lists perlis  thornton  ,1960-04-01
209,210.0,recursive functions of symbolic expressions and their computation by machine part i mccarthy  ,1960-04-01
210,211.0,share standard flow chart symbols grems  ,1960-03-01
211,212.0,bisection routine algorithm 4 gorn s  ,1960-03-01
212,213.0,numerical inversion of laplace transforms schmittroth  ,1960-03-01
213,214.0,an algorithm defining algol assignment statements floyd  ,1960-03-01
214,215.0,the execute operations a fourth mode of instruction sequencing brooks  ,1960-03-01
215,216.0,a note on the use of the abacus in number conversion kanner  ,1960-03-01
216,217.0,soviet computer technology 1959  ,1960-03-01
217,218.0,computer preparation of a poetry concordance painter  ,1960-02-01
218,219.0,marriage with problems shuchter  ,1960-02-01
219,220.0,a new method of computation of square roots without using division traub  ,1960-02-01
220,221.0,the basic side of tape labeling logan  ,1960-02-01
221,222.0,coding isomorphisms lynch  the coding of external symbols into symbols internal to a compute can sometimes be carried out in such a way that relevant informational properties are preserved but in a form much more easily dealt with a case in point is presented,1960-02-01
222,223.0,selfcipher programming pelta  ,1960-02-01
223,224.0,sequential formula translation samelson  bauer  the syntax of an algorithmic language such as algol is conveniently described as a sequence of states indicated by an element called cellar transitions are controlled by admissible state symbol pairs which may be represented by a transition matrix this description of syntax furnishes at the same time an extremely simple rule for translating into machine programs statements in the algorithmic language sequential treatment however is not feasible in the case of certain optimizing processes such as recursive address calculation,1960-02-01
224,225.0,a techniquefor handling macro instructions corrigendum greenwald  ,1960-02-01
225,226.0,solution of polynomial equation by bairstow hitchcock method algorithm 3 grau  ,1960-02-01
226,227.0,rootfinder algorithm 2 wegstein  ,1960-02-01
227,228.0,quadi algorithm 1 herbold  ,1960-02-01
228,229.0,a terminology proposal gruenberger  ,1960-02-01
229,230.0,a proposal for character code compatibility bemer  ,1960-02-01
230,231.0,a proposal for a set of publication standards for use by the acm kent  ,1960-02-01
231,232.0,a high speed sorting procedure frank  lazarus  ,1960-01-01
232,233.0,abstracts additional nuclear reactor codes nather  sangren  ,1960-01-01
233,234.0,a sap like assembly program for the ibm 650 speckhard  ,1960-01-01
234,235.0,two think pieces bagley  ,1960-01-01
235,236.0,soviet cybernetics and computer feigenbaum  this article records observations on soviet research and technology in cybernetics and computer science made by the author during a visit to the soviet union as a delegate to the ifac congress on automatic control held in moscow in the summer of 1960,1961-12-01
236,237.0,computer production of peek a boo sheets robbins  ,1961-12-01
237,238.0,simulation and analysis of biochemical systems garfinkel  rutledge  higgins  ,1961-12-01
238,239.0,inefficiency of the use of boolean functions for information retrieval systems verhoeff  goffman  belzer  ,1961-12-01
239,240.0,processing magnetic tape files with variable blocks graham  sprott  ,1961-12-01
240,241.0,machine calculation of moments of a probability distribution lechner  a method is presented for the calculation on a machine of the moments of a probability distribution necessitating little more than n additions and n references to memory for each moment instead of the minimum of n multiplication 2n additions and 2n references to memory required by the most straightforward method where n is the number of entries in the probability distribution the method is directly applicable when a tabulated distribution exists as when it has been computed by repeated convolution but in this case it conserves both time and accuracy,1961-12-01
241,242.0,notes on geometric weighted check digit verification wilson  this note describes a method for utilizing geometric weight modulus 11 checking digits on a computer which does not have either multiplication or division in addition some attempt has been made to show some limitations of this system,1961-12-01
242,243.0,n dimensional codes for detecting and correcting multiple errors rubinoff  the paper introduces a new family of codes for detecting and correcting multiple errors in a binary coded message the message itself is arranged conceptually into a multidimensional rectangular array the processes of encoding and error detection are based upon parity evaluations along prescribed dimensions of the array effectiveness of the codes is increased by introducing a system check bit which is essentially a parity check on the other parity bits only three dimensional codes are discussed in this paper with parity evaluations along the horizontal the vertical and one main diagonal however the family of codes is not restricted to three dimensions as evidenced by the discussion by minnick and ashenhurst on a similar multidimensional single bit selection plan used for another purpose 6 a four dimensional code correcting three and detecting four errors has been developed the extension to higher dimensional codes with greater correction power is straightforward,1961-12-01
243,244.0,incomplete elliptic integrals algorithm 73 kriebel  ,1961-12-01
244,245.0,a set of associate legendre polynomials of the second kind algorithm 62 herndon  ,1961-12-01
245,246.0,least squares fit by orthogonal polynomials algorithm 28 macmillan  ,1961-12-01
246,247.0,incomplete elliptic integrals algorithm 73 jefferson  ,1961-12-01
247,248.0,what is proprietary in mathematical programming impressions of a panel discussion smith  a panel discussion on what is proprietary in mathematical programming was sponsored by the special interest committee on mathematical programming of the acm during a hall of discussion on september 7th at the 16th national acm meeting in los angeles this note consists solely of the impressions garnered by the moderator of the panel and does not necessarily represent the position of any of the panelists or other participants in the discussion,1961-12-01
248,249.0,specification languages for mechanical languages and their processors a baker s dozen gorn  ,1961-12-01
249,250.0,an engineering application of logic structure tables nickerson  ,1961-11-01
250,251.0,ballistic cam design archambault  this paper presents a digital computer program for the rapid calculation of manufacturing data essential to the design of preproduction cams which are utilized in ballistic computers of tank fire control systems the cam profile generated introduces the superelevation angle required by tank main armament for a particular type ammunition,1961-11-01
251,252.0,programming a duplex computer system dow  this paper describes a method of duplex computer programming that has been used with two computers in a military defense system the method combines special programs with a basic data processing program package the duplex operation gives the system greater reliability after achieving the required level of integration both computers do similar processing on the same inputs and continually cross check the intermediate and final results,1961-11-01
252,253.0,on a program for ray chaudhuri s algorithm for a minimum cover of an abstract complex foata  ,1961-11-01
253,254.0,smalgol 61 bachelork  dempster  knuth  speroni  prior to and during the 1961 western joint computer conference several people in the joint users groups had expressed interest in defining a smalgol language this is to be an algol language for use with compilers on relatively small size computers a preliminary report resulted at the acm national conference four months later after considering several counter proposals a final version was agreed upon by a subcommittee the recommendations of the subcommittee for a standard subset of algol 60 for use on small computers is presented here,1961-11-01
254,255.0,augmentation algorithm 68 breed  ,1961-11-01
255,256.0,a set of test matrices algorithm 52 dubay  ,1961-11-01
256,257.0,invert algorithm 42 knapp  shaman  ,1961-11-01
257,258.0,composition generator algorithm 72 hellerman  ogden  ,1961-11-01
258,259.0,permutation algorithm 71 coveyou  sullivan  ,1961-11-01
259,260.0,interpolation by aitken algorithm 70 mifsud  ,1961-11-01
260,261.0,tape splitting moore  ,1961-11-01
261,262.0,map moore  ruwe  ,1961-11-01
262,263.0,library loading with alternate routine selection moore  ,1961-11-01
