,.I,data
1219,27,1419
1220,27,1421
1221,28,116
1222,28,133
1223,28,150
1224,28,156
1225,28,164
1226,28,198
1227,28,243
1228,28,252
1229,28,327
1230,28,375
1231,28,460
1232,28,465
1233,28,568
1234,28,569
1235,28,582
1236,28,609
1237,28,635
1238,28,670
1239,28,671
1240,28,674
1241,28,676
1242,28,681
1243,28,683
1244,28,684
1245,28,687
1246,28,689
1247,28,690
1248,28,692
1249,28,695
1250,28,696
1251,28,699
1252,28,700
1253,28,702
1254,28,703
1255,28,704
1256,28,707
1257,28,709
1258,28,710
1259,28,722
1260,28,723
1261,28,726
1262,28,731
1263,28,741
1264,28,742
1265,28,743
1266,28,813
1267,28,833
1268,28,890
1269,28,1026
1270,28,1089
1271,28,1092
1272,28,1120
1273,28,1126
1274,28,1162
1275,28,1164
1276,28,1180
1277,28,1292
1278,28,1296
1279,28,1370
1280,28,1460
1281,29,34
1282,29,65
1283,29,68
1284,29,71
1285,29,72
1286,29,77
1287,29,78
1288,29,79
1289,29,90
1290,29,117
1291,29,156
1292,29,159
1293,29,175
1294,29,176
1295,29,194
1296,29,195
1297,29,212
1298,29,257
1299,29,315
1300,29,377
1301,29,446
1302,29,493
1303,29,499
1304,29,503
1305,29,517
1306,29,527
1307,29,531
1308,29,643
1309,29,649
1310,29,650
1311,29,660
1312,29,661
1313,29,671
1314,29,673
1315,29,674
1316,29,680
1317,29,699
1318,29,700
1319,29,704
1320,29,709
1321,29,713
1322,29,715
1323,29,807
1324,29,830
1325,29,1144
1326,29,1280
1327,29,1419
1328,29,1421
1329,30,2
1330,30,10
1331,30,15
1332,30,37
1333,30,63
1334,30,76
1335,30,77
1336,30,87
1337,30,89
1338,30,97
1339,30,102
1340,30,111
1341,30,112
1342,30,121
1343,30,138
1344,30,166
1345,30,167
1346,30,213
1347,30,215
1348,30,219
1349,30,225
1350,30,234
1351,30,255
1352,30,311
1353,30,323
1354,30,341
1355,30,362
1356,30,379
1357,30,573
1358,30,580
1359,30,587
1360,30,588
1361,30,605
1362,30,611
1363,30,613
1364,30,614
1365,30,616
1366,30,618
1367,30,622
1368,30,632
1369,30,635
1370,30,638
1371,30,656
1372,30,685
1373,30,686
1374,30,691
1375,30,721
1376,30,724
1377,30,725
1378,30,741
1379,30,744
1380,30,747
1381,30,748
1382,30,750
1383,30,751
1384,30,756
1385,30,757
1386,30,759
1387,30,764
1388,30,765
1389,30,766
1390,30,767
1391,30,770
1392,30,775
1393,30,777
1394,30,778
1395,30,782
1396,30,784
1397,30,786
1398,30,787
1399,30,788
1400,30,789
1401,30,791
1402,30,793
1403,30,794
1404,30,800
1405,30,804
1406,30,808
1407,30,821
1408,30,831
1409,30,953
1410,30,958
1411,30,1055
1412,30,1085
1413,30,1086
1414,30,1090
1415,30,1097
1416,30,1108
1417,30,1109
1418,30,1113
1419,30,1114
1420,30,1115
1421,30,1122
1422,30,1123
1423,30,1155
1424,30,1156
1425,30,1157
1426,30,1161
1427,30,1167
1428,30,1168
1429,30,1172
1430,30,1173
1431,30,1176
1432,30,1182
1433,30,1190
1434,30,1191
1435,30,1209
1436,30,1210
1437,30,1241
1438,30,1254
1439,30,1260
1440,30,1269
1441,30,1274
1442,30,1276
1443,30,1278
1444,30,1279
1445,30,1284
1446,30,1285
1447,30,1286
1448,30,1287
1449,30,1289
1450,30,1290
1451,30,1301
1452,30,1304
1453,30,1313
1454,30,1319
1455,30,1335
1456,30,1350
1457,30,1369
1458,30,1418
1459,30,1428
1460,30,1432
1461,30,1444
1462,30,1451
1463,31,95
1464,31,116
1465,31,131
1466,31,133
1467,31,145
1468,31,150
1469,31,156
1470,31,375
1471,31,379
1472,31,460
1473,31,465
1474,31,473
1475,31,482
1476,31,485
1477,31,503
1478,31,535
1479,31,569
1480,31,576
1481,31,614
1482,31,635
1483,31,638
1484,31,670
1485,31,674
1486,31,681
1487,31,682
1488,31,683
1489,31,687
1490,31,689
1491,31,690
1492,31,692
1493,31,695
1494,31,702
1495,31,703
1496,31,707
1497,31,709
1498,31,710
1499,31,741
1500,31,742
1501,31,743
1502,31,744
1503,31,763
1504,31,773
1505,31,775
1506,31,820
1507,31,889
1508,31,1080
1509,31,1112
1510,31,1121
1511,31,1124
1512,31,1126
1513,31,1180
1514,31,1207
1515,31,1208
1516,31,1256
1517,31,1264
1518,31,1296
1519,31,1299
1520,31,1303
1521,31,1370
1522,31,1436
1523,31,1460
1524,32,11
1525,32,17
1526,32,35
1527,32,36
1528,32,56
1529,32,92
1530,32,178
1531,32,192
1532,32,193
1533,32,195
1534,32,196
1535,32,200
1536,32,201
1537,32,212
1538,32,219
1539,32,243
1540,32,244
1541,32,246
1542,32,248
1543,32,250
1544,32,257
1545,32,258
1546,32,259
1547,32,262
1548,32,267
1549,32,269
1550,32,277
1551,32,287
1552,32,289
1553,32,291
1554,32,294
1555,32,299
1556,32,307
1557,32,314
1558,32,323
1559,32,326
1560,32,331
1561,32,333
1562,32,336
1563,32,338
1564,32,348
1565,32,374
1566,32,375
1567,32,388
1568,32,406
1569,32,408
1570,32,409
1571,32,410
1572,32,548
1573,32,593
1574,32,597
1575,32,660
1576,32,664
1577,32,722
1578,32,724
1579,32,726
1580,32,728
1581,32,734
1582,32,836
1583,32,848
1584,32,849
1585,32,850
1586,32,854
1587,32,856
1588,32,858
1589,32,861
1590,32,863
1591,32,872
1592,32,874
1593,32,875
1594,32,880
1595,32,884
1596,32,885
1597,32,886
1598,32,887
1599,32,916
1600,32,917
1601,32,921
1602,32,922
1603,32,925
1604,32,941
1605,32,947
1606,32,955
1607,32,963
1608,32,970
1609,32,979
1610,32,990
1611,32,997
1612,32,998
1613,32,1012
1614,32,1042
1615,32,1043
1616,32,1079
1617,32,1193
1618,32,1196
1619,32,1197
1620,32,1198
1621,32,1229
1622,32,1230
1623,32,1248
1624,32,1252
1625,32,1264
1626,32,1280
1627,32,1351
1628,32,1358
1629,32,1366
1630,32,1367
1631,32,1368
1632,32,1371
1633,32,1372
1634,32,1375
1635,32,1376
1636,32,1377
1637,32,1410
1638,32,1415
1639,32,1418
1640,32,1445
1641,33,122
1642,33,123
1643,33,169
1644,33,375
1645,33,376
1646,33,854
1647,33,885
1648,33,947
1649,33,980
1650,33,997
1651,33,1011
1652,33,1013
1653,33,1121
1654,33,1146
1655,33,1171
1656,33,1198
1657,33,1303
1658,33,1367
1659,33,1377
1660,33,1410
1661,34,34
1662,34,44
1663,34,53
1664,34,57
1665,34,68
1666,34,80
1667,34,117
1668,34,123
1669,34,159
1670,34,320
1671,34,377
1672,34,434
1673,34,489
1674,34,493
1675,34,522
1676,34,530
1677,34,600
1678,34,668
1679,34,669
1680,34,670
1681,34,671
1682,34,673
1683,34,677
1684,34,678
1685,34,679
1686,34,681
1687,34,687
1688,34,689
1689,34,694
1690,34,697
1691,34,699
1692,34,700
1693,34,704
1694,34,706
1695,34,708
1696,34,709
1697,34,830
1698,34,1144
1699,35,12
1700,35,18
1701,35,54
1702,35,75
1703,35,92
1704,35,119
1705,35,126
1706,35,130
1707,35,156
1708,35,163
1709,35,178
1710,35,220
1711,35,286
1712,35,355
1713,35,376
1714,35,385
1715,35,402
1716,35,403
1717,35,404
1718,35,406
1719,35,452
1720,35,466
1721,35,496
1722,35,514
1723,35,527
1724,35,537
1725,35,547
1726,35,619
1727,35,687
1728,35,694
1729,35,707
1730,35,730
1731,35,837
1732,35,978
1733,35,1080
1734,35,1143
1735,35,1145
1736,35,1146
1737,35,1207
1738,35,1208
1739,35,1264
1740,35,1288
1741,35,1360
1742,37,1
1743,37,16
1744,37,30
1745,37,34
1746,37,38
1747,37,44
1748,37,51
1749,37,52
1750,37,53
1751,37,69
1752,37,71
1753,37,75
1754,37,79
1755,37,151
1756,37,194
1757,37,653
1758,37,687
1759,37,688
1760,37,701
1761,37,732
1762,37,773
1763,37,781
1764,37,798
1765,37,802
1766,37,809
1767,37,989
1768,37,1073
1769,37,1091
1770,37,1118
1771,37,1124
1772,37,1131
1773,37,1133
1774,37,1144
1775,37,1163
1776,37,1171
1777,37,1222
1778,37,1326
1779,37,1413
1780,37,1414
1781,37,1448
1782,39,6
1783,39,14
1784,39,22
1785,39,93
1786,39,114
1787,39,141
1788,39,272
1789,39,323
1790,39,371
1791,39,387
1792,39,598
1793,39,839
1794,39,881
1795,39,896
1796,39,1022
1797,39,1166
1798,39,1178
1799,39,1248
1800,41,34
1801,41,86
1802,41,388
1803,41,488
1804,41,669
1805,41,687
1806,41,795
1807,41,825
1808,41,966
1809,41,1066
1810,41,1395
1811,42,29
1812,42,60
1813,42,85
1814,42,92
1815,42,114
1816,42,123
1817,42,126
1818,42,131
1819,42,174
1820,42,175
1821,42,291
1822,42,294
1823,42,345
1824,42,346
1825,42,359
1826,42,360
1827,42,363
1828,42,400
1829,42,421
1830,42,432
1831,42,454
1832,42,457
1833,42,459
1834,42,460
1835,42,461
1836,42,463
1837,42,469
1838,42,505
1839,42,535
1840,42,540
1841,42,553
1842,42,554
1843,42,599
1844,42,640
1845,42,724
1846,42,803
1847,42,901
1848,42,917
1849,42,1027
1850,42,1035
1851,42,1053
1852,42,1169
1853,42,1179
1854,42,1181
1855,42,1190
1856,42,1191
1857,42,1248
1858,42,1309
1859,42,1405
1860,42,1412
1861,43,114
1862,43,120
1863,43,128
1864,43,135
1865,43,144
1866,43,157
1867,43,175
1868,43,350
1869,43,511
1870,43,567
1871,43,694
1872,43,835
1873,43,867
1874,44,2
1875,44,10
1876,44,32
1877,44,33
1878,44,34
1879,44,37
1880,44,40
1881,44,41
1882,44,49
1883,44,63
1884,44,87
1885,44,90
1886,44,98
1887,44,113
1888,44,115
1889,44,116
1890,44,165
1891,44,166
1892,44,178
1893,44,192
1894,44,198
1895,44,199
1896,44,202
1897,44,203
1898,44,204
1899,44,205
1900,44,211
1901,44,215
1902,44,219
1903,44,225
1904,44,234
1905,44,242
1906,44,252
1907,44,253
1908,44,341
1909,44,347
1910,44,355
1911,44,371
1912,44,375
1913,44,376
1914,44,381
1915,44,384
1916,44,395
1917,44,415
1918,44,453
1919,44,465
1920,44,467
1921,44,482
1922,44,491
1923,44,495
1924,44,515
1925,44,517
1926,44,520
1927,44,529
1928,44,535
1929,44,560
1930,44,580
1931,44,582
1932,44,588
1933,44,605
1934,44,607
1935,44,609
1936,44,613
1937,44,614
1938,44,616
1939,44,619
1940,44,622
1941,44,666
1942,44,667
1943,44,711
1944,44,712
1945,44,714
1946,44,716
1947,44,717
1948,44,719
1949,44,721
1950,44,725
1951,44,728
1952,44,731
1953,44,756
1954,44,763
1955,44,767
1956,44,770
1957,44,771
1958,44,773
1959,44,775
1960,44,777
1961,44,782
1962,44,800
1963,44,821
1964,44,831
1965,44,839
1966,44,888
1967,44,889
1968,44,905
1969,44,914
1970,44,916
1971,44,933
1972,44,943
1973,44,944
1974,44,952
1975,44,958
1976,44,977
1977,44,983
1978,44,996
1979,44,1023
1980,44,1060
1981,44,1072
1982,44,1076
1983,44,1078
1984,44,1080
1985,44,1089
1986,44,1090
1987,44,1099
1988,44,1109
1989,44,1122
1990,44,1167
1991,44,1168
1992,44,1181
1993,44,1184
1994,44,1203
1995,44,1208
1996,44,1223
1997,44,1241
1998,44,1253
1999,44,1256
2000,44,1257
2001,44,1258
2002,44,1268
2003,44,1275
2004,44,1277
2005,44,1284
2006,44,1286
2007,44,1290
2008,44,1295
2009,44,1296
2010,44,1298
2011,44,1299
2012,44,1319
2013,44,1322
2014,44,1324
2015,44,1352
2016,44,1355
2017,44,1362
2018,44,1369
2019,44,1373
2020,44,1417
2021,44,1421
2022,44,1428
2023,44,1431
2024,44,1432
2025,44,1440
2026,44,1446
2027,44,1450
2028,44,1460
2029,45,4
2030,45,5
2031,45,11
2032,45,12
2033,45,17
2034,45,24
2035,45,36
2036,45,46
2037,45,56
2038,45,64
2039,45,74
2040,45,90
2041,45,115
2042,45,136
2043,45,141
2044,45,142
2045,45,177
2046,45,178
2047,45,272
2048,45,323
2049,45,548
2050,45,555
2051,45,607
2052,45,660
2053,45,664
2054,45,721
2055,45,723
2056,45,724
2057,45,725
2058,45,728
2059,45,731
2060,45,739
2061,45,823
2062,45,839
2063,45,848
2064,45,879
2065,45,881
2066,45,887
2067,45,888
2068,45,906
2069,45,907
2070,45,908
2071,45,911
